# 简名 → 完整包路径对照表（写 import 时查这个）
# 共 9331 个简名，同名类用 | 分隔

AABB	net.minecraft.world.phys.AABB
OceanMonumentPieces$OceanMonumentDoubleXRoom	net.minecraft.world.level.levelgen.structure.structures.OceanMonumentPieces$OceanMonumentDoubleXRoom
OceanMonumentPieces$OceanMonumentDoubleXYRoom	net.minecraft.world.level.levelgen.structure.structures.OceanMonumentPieces$OceanMonumentDoubleXYRoom
OceanMonumentPieces$OceanMonumentDoubleYRoom	net.minecraft.world.level.levelgen.structure.structures.OceanMonumentPieces$OceanMonumentDoubleYRoom
OceanMonumentPieces$OceanMonumentDoubleYZRoom	net.minecraft.world.level.levelgen.structure.structures.OceanMonumentPieces$OceanMonumentDoubleYZRoom
OceanMonumentPieces$OceanMonumentDoubleZRoom	net.minecraft.world.level.levelgen.structure.structures.OceanMonumentPieces$OceanMonumentDoubleZRoom
OceanMonumentPieces$OceanMonumentEntryRoom	net.minecraft.world.level.levelgen.structure.structures.OceanMonumentPieces$OceanMonumentEntryRoom
OceanMonumentPieces$OceanMonumentPenthouse	net.minecraft.world.level.levelgen.structure.structures.OceanMonumentPieces$OceanMonumentPenthouse
OceanMonumentPieces$OceanMonumentPiece	net.minecraft.world.level.levelgen.structure.structures.OceanMonumentPieces$OceanMonumentPiece
OceanMonumentPieces$OceanMonumentSimpleRoom	net.minecraft.world.level.levelgen.structure.structures.OceanMonumentPieces$OceanMonumentSimpleRoom
OceanMonumentPieces$OceanMonumentSimpleTopRoom	net.minecraft.world.level.levelgen.structure.structures.OceanMonumentPieces$OceanMonumentSimpleTopRoom
OceanMonumentPieces$OceanMonumentWingRoom	net.minecraft.world.level.levelgen.structure.structures.OceanMonumentPieces$OceanMonumentWingRoom
OceanMonumentPieces$RoomDefinition	net.minecraft.world.level.levelgen.structure.structures.OceanMonumentPieces$RoomDefinition
OceanMonumentStructure	net.minecraft.world.level.levelgen.structure.structures.OceanMonumentStructure
OceanRuinPieces	net.minecraft.world.level.levelgen.structure.structures.OceanRuinPieces
OceanRuinPieces$1	net.minecraft.world.level.levelgen.structure.structures.OceanRuinPieces$1
OceanRuinPieces$OceanRuinPiece	net.minecraft.world.level.levelgen.structure.structures.OceanRuinPieces$OceanRuinPiece
OceanRuinStructure	net.minecraft.world.level.levelgen.structure.structures.OceanRuinStructure
OceanRuinStructure$Type	net.minecraft.world.level.levelgen.structure.structures.OceanRuinStructure$Type
Ocelot	net.minecraft.world.entity.animal.feline.Ocelot
Ocelot$OcelotAvoidEntityGoal	net.minecraft.world.entity.animal.feline.Ocelot$OcelotAvoidEntityGoal
Ocelot$OcelotTemptGoal	net.minecraft.world.entity.animal.feline.Ocelot$OcelotTemptGoal
OcelotAttackGoal	net.minecraft.world.entity.ai.goal.OcelotAttackGoal
OcelotModel	net.minecraft.client.model.animal.feline.OcelotModel
OcelotRenderer	net.minecraft.client.renderer.entity.OcelotRenderer
Octree	net.minecraft.client.renderer.Octree
Octree$AxisSorting	net.minecraft.client.renderer.Octree$AxisSorting
Octree$Branch	net.minecraft.client.renderer.Octree$Branch
Octree$Leaf	net.minecraft.client.renderer.Octree$Leaf
Octree$Node	net.minecraft.client.renderer.Octree$Node
Octree$OctreeVisitor	net.minecraft.client.renderer.Octree$OctreeVisitor
OctreeDebugRenderer	net.minecraft.client.renderer.debug.OctreeDebugRenderer
OfferFlowerGoal	net.minecraft.world.entity.ai.goal.OfferFlowerGoal
OffsetDoubleList	net.minecraft.world.phys.shapes.OffsetDoubleList
OldMinecartBehavior	net.minecraft.world.entity.vehicle.minecart.OldMinecartBehavior
OldMinecartBehavior$1	net.minecraft.world.entity.vehicle.minecart.OldMinecartBehavior$1
OldUsersConverter	net.minecraft.server.players.OldUsersConverter
OldUsersConverter$1	net.minecraft.server.players.OldUsersConverter$1
OldUsersConverter$2	net.minecraft.server.players.OldUsersConverter$2
OldUsersConverter$3	net.minecraft.server.players.OldUsersConverter$3
OldUsersConverter$4	net.minecraft.server.players.OldUsersConverter$4
OldUsersConverter$5	net.minecraft.server.players.OldUsersConverter$5
OldUsersConverter$ConversionError	net.minecraft.server.players.OldUsersConverter$ConversionError
OminousBannerBlockEntityRenameFix	net.minecraft.util.datafix.fixes.OminousBannerBlockEntityRenameFix
OminousBannerRarityFix	net.minecraft.util.datafix.fixes.OminousBannerRarityFix
OminousBannerRenameFix	net.minecraft.util.datafix.fixes.OminousBannerRenameFix
OminousBottleAmplifier	net.minecraft.world.item.component.OminousBottleAmplifier
OminousItemSpawner	net.minecraft.world.entity.OminousItemSpawner
OminousItemSpawnerRenderer	net.minecraft.client.renderer.entity.OminousItemSpawnerRenderer
OneShot	net.minecraft.world.entity.ai.behavior.OneShot
OnlineOptionsScreen	net.minecraft.client.gui.screens.options.OnlineOptionsScreen
OozingMobEffect	net.minecraft.world.effect.OozingMobEffect
OozingMobEffect$NearbySlimes	net.minecraft.world.effect.OozingMobEffect$NearbySlimes
OpCommand	net.minecraft.server.commands.OpCommand
OpenDoorGoal	net.minecraft.world.entity.ai.goal.OpenDoorGoal
OpenInventoryTutorialStep	net.minecraft.client.tutorial.OpenInventoryTutorialStep
OperationArgument	net.minecraft.commands.arguments.OperationArgument
OperationArgument$Operation	net.minecraft.commands.arguments.OperationArgument$Operation
OperationArgument$SimpleOperation	net.minecraft.commands.arguments.OperationArgument$SimpleOperation
OperatorService	net.minecraft.server.jsonrpc.methods.OperatorService
OperatorService$Op	net.minecraft.server.jsonrpc.methods.OperatorService$Op
OperatorService$OperatorDto	net.minecraft.server.jsonrpc.methods.OperatorService$OperatorDto
OptimizeWorldScreen	net.minecraft.client.gui.screens.worldselection.OptimizeWorldScreen
OptionInstance	net.minecraft.client.OptionInstance
OptionInstance$AltEnum	net.minecraft.client.OptionInstance$AltEnum
OptionInstance$CaptionBasedToString	net.minecraft.client.OptionInstance$CaptionBasedToString
OptionInstance$ClampingLazyMaxIntRange	net.minecraft.client.OptionInstance$ClampingLazyMaxIntRange
OptionInstance$CycleableValueSet	net.minecraft.client.OptionInstance$CycleableValueSet
OptionInstance$CycleableValueSet$ValueSetter	net.minecraft.client.OptionInstance$CycleableValueSet$ValueSetter
OptionInstance$Enum	net.minecraft.client.OptionInstance$Enum
OptionInstance$IntRange	net.minecraft.client.OptionInstance$IntRange
OptionInstance$IntRangeBase	net.minecraft.client.OptionInstance$IntRangeBase
OptionInstance$IntRangeBase$1	net.minecraft.client.OptionInstance$IntRangeBase$1
OptionInstance$LazyEnum	net.minecraft.client.OptionInstance$LazyEnum
OptionInstance$OptionInstanceSliderButton	net.minecraft.client.OptionInstance$OptionInstanceSliderButton
OptionInstance$SliderableEnum	net.minecraft.client.OptionInstance$SliderableEnum
OptionInstance$SliderableOrCyclableValueSet	net.minecraft.client.OptionInstance$SliderableOrCyclableValueSet
OptionInstance$SliderableValueSet	net.minecraft.client.OptionInstance$SliderableValueSet
OptionInstance$TooltipSupplier	net.minecraft.client.OptionInstance$TooltipSupplier
OptionInstance$UnitDouble	net.minecraft.client.OptionInstance$UnitDouble
OptionInstance$UnitDouble$1	net.minecraft.client.OptionInstance$UnitDouble$1
OptionInstance$ValueSet	net.minecraft.client.OptionInstance$ValueSet
OptionalDispenseItemBehavior	net.minecraft.core.dispenser.OptionalDispenseItemBehavior
Options	net.minecraft.client.Options
Options$1	net.minecraft.client.Options$1
Options$2	net.minecraft.client.Options$2
Options$3	net.minecraft.client.Options$3
Options$4	net.minecraft.client.Options$4
Options$5	net.minecraft.client.Options$5
Options$FieldAccess	net.minecraft.client.Options$FieldAccess
Options$OptionAccess	net.minecraft.client.Options$OptionAccess
OptionsAccessibilityOnboardFix	net.minecraft.util.datafix.fixes.OptionsAccessibilityOnboardFix
OptionsAddTextBackgroundFix	net.minecraft.util.datafix.fixes.OptionsAddTextBackgroundFix
OptionsAmbientOcclusionFix	net.minecraft.util.datafix.fixes.OptionsAmbientOcclusionFix
OptionsFancyGraphicsToGraphicsModeFix	net.minecraft.util.datafix.fixes.OptionsFancyGraphicsToGraphicsModeFix
OptionsForceVBOFix	net.minecraft.util.datafix.fixes.OptionsForceVBOFix
OptionsGraphicsModeSplitFix	net.minecraft.util.datafix.fixes.OptionsGraphicsModeSplitFix
OptionsKeyLwjgl3Fix	net.minecraft.util.datafix.fixes.OptionsKeyLwjgl3Fix
OptionsKeyTranslationFix	net.minecraft.util.datafix.fixes.OptionsKeyTranslationFix
OptionsList	net.minecraft.client.gui.components.OptionsList
OptionsList$AbstractEntry	net.minecraft.client.gui.components.OptionsList$AbstractEntry
OptionsList$Entry	net.minecraft.client.gui.components.OptionsList$Entry
OptionsList$HeaderEntry	net.minecraft.client.gui.components.OptionsList$HeaderEntry
OptionsList$OptionInstanceWidget	net.minecraft.client.gui.components.OptionsList$OptionInstanceWidget
OptionsLowerCaseLanguageFix	net.minecraft.util.datafix.fixes.OptionsLowerCaseLanguageFix
OptionsMenuBlurrinessFix	net.minecraft.util.datafix.fixes.OptionsMenuBlurrinessFix
OptionsMusicToastFix	net.minecraft.util.datafix.fixes.OptionsMusicToastFix
OptionsProgrammerArtFix	net.minecraft.util.datafix.fixes.OptionsProgrammerArtFix
OptionsRenameFieldFix	net.minecraft.util.datafix.fixes.OptionsRenameFieldFix
OptionsScreen	net.minecraft.client.gui.screens.options.OptionsScreen
OptionsSetGraphicsPresetToCustomFix	net.minecraft.util.datafix.fixes.OptionsSetGraphicsPresetToCustomFix
OptionsSubScreen	net.minecraft.client.gui.screens.options.OptionsSubScreen
Optionull	net.minecraft.Optionull
OrderedSubmitNodeCollector	net.minecraft.client.renderer.OrderedSubmitNodeCollector
OreConfiguration	net.minecraft.world.level.levelgen.feature.configurations.OreConfiguration
OreConfiguration$TargetBlockState	net.minecraft.world.level.levelgen.feature.configurations.OreConfiguration$TargetBlockState
OreFeature	net.minecraft.world.level.levelgen.feature.OreFeature
OreFeatures	net.minecraft.data.worldgen.features.OreFeatures
OrePlacements	net.minecraft.data.worldgen.placement.OrePlacements
OreVeinifier	net.minecraft.world.level.levelgen.OreVeinifier
OreVeinifier$VeinType	net.minecraft.world.level.levelgen.OreVeinifier$VeinType
Orientation	net.minecraft.world.level.redstone.Orientation
Orientation$SideBias	net.minecraft.world.level.redstone.Orientation$SideBias
OutOfMemoryScreen	net.minecraft.client.gui.screens.OutOfMemoryScreen
OutgoingChatMessage	net.minecraft.network.chat.OutgoingChatMessage
OutgoingChatMessage$Disguised	net.minecraft.network.chat.OutgoingChatMessage$Disguised
OutgoingChatMessage$Player	net.minecraft.network.chat.OutgoingChatMessage$Player
OutgoingRpcMethod	net.minecraft.server.jsonrpc.OutgoingRpcMethod
OutgoingRpcMethod$Attributes	net.minecraft.server.jsonrpc.OutgoingRpcMethod$Attributes
OutgoingRpcMethod$Factory	net.minecraft.server.jsonrpc.OutgoingRpcMethod$Factory
OutgoingRpcMethod$Method	net.minecraft.server.jsonrpc.OutgoingRpcMethod$Method
OutgoingRpcMethod$Notification	net.minecraft.server.jsonrpc.OutgoingRpcMethod$Notification
OutgoingRpcMethod$OutgoingRpcMethodBuilder	net.minecraft.server.jsonrpc.OutgoingRpcMethod$OutgoingRpcMethodBuilder
OutgoingRpcMethod$ParameterlessMethod	net.minecraft.server.jsonrpc.OutgoingRpcMethod$ParameterlessMethod
OutgoingRpcMethod$ParmeterlessNotification	net.minecraft.server.jsonrpc.OutgoingRpcMethod$ParmeterlessNotification
OutgoingRpcMethods	net.minecraft.server.jsonrpc.OutgoingRpcMethods
OutlineBufferSource	net.minecraft.client.renderer.OutlineBufferSource
OutlineBufferSource$EntityOutlineGenerator	net.minecraft.client.renderer.OutlineBufferSource$EntityOutlineGenerator
OutputTarget	net.minecraft.client.renderer.rendertype.OutputTarget
Overlay	net.minecraft.client.gui.screens.Overlay
OverlayMetadataSection	net.minecraft.server.packs.OverlayMetadataSection
OverlayMetadataSection$1	net.minecraft.server.packs.OverlayMetadataSection$1
OverlayMetadataSection$OverlayEntry	net.minecraft.server.packs.OverlayMetadataSection$OverlayEntry
OverlayMetadataSection$OverlayEntry$IntermediateEntry	net.minecraft.server.packs.OverlayMetadataSection$OverlayEntry$IntermediateEntry
OverlayRecipeComponent	net.minecraft.client.gui.screens.recipebook.OverlayRecipeComponent
OverlayRecipeComponent$OverlayCraftingRecipeButton	net.minecraft.client.gui.screens.recipebook.OverlayRecipeComponent$OverlayCraftingRecipeButton
OverlayRecipeComponent$OverlayRecipeButton	net.minecraft.client.gui.screens.recipebook.OverlayRecipeComponent$OverlayRecipeButton
OverlayRecipeComponent$OverlayRecipeButton$Pos	net.minecraft.client.gui.screens.recipebook.OverlayRecipeComponent$OverlayRecipeButton$Pos
OverlayRecipeComponent$OverlaySmeltingRecipeButton	net.minecraft.client.gui.screens.recipebook.OverlayRecipeComponent$OverlaySmeltingRecipeButton
OverlayTexture	net.minecraft.client.renderer.texture.OverlayTexture
OverreachingTickFix	net.minecraft.util.datafix.fixes.OverreachingTickFix
OversizedItemRenderState	net.minecraft.client.gui.render.state.pip.OversizedItemRenderState
OversizedItemRenderer	net.minecraft.client.gui.render.pip.OversizedItemRenderer
OverworldBiomeBuilder	net.minecraft.world.level.biome.OverworldBiomeBuilder
OverworldBiomes	net.minecraft.data.worldgen.biome.OverworldBiomes
OwnableEntity	net.minecraft.world.entity.OwnableEntity
OwnerHurtByTargetGoal	net.minecraft.world.entity.ai.goal.target.OwnerHurtByTargetGoal
OwnerHurtTargetGoal	net.minecraft.world.entity.ai.goal.target.OwnerHurtTargetGoal
Pack	net.minecraft.server.packs.repository.Pack
Pack$Metadata	net.minecraft.server.packs.repository.Pack$Metadata
Pack$Position	net.minecraft.server.packs.repository.Pack$Position
Pack$ResourcesSupplier	net.minecraft.server.packs.repository.Pack$ResourcesSupplier
PackCompatibility	net.minecraft.server.packs.repository.PackCompatibility
PackDetector	net.minecraft.server.packs.repository.PackDetector
PackDownloader	net.minecraft.client.resources.server.PackDownloader
PackFormat	net.minecraft.server.packs.metadata.pack.PackFormat
PackFormat$1	net.minecraft.server.packs.metadata.pack.PackFormat$1
PackFormat$IntermediaryFormat	net.minecraft.server.packs.metadata.pack.PackFormat$IntermediaryFormat
PackFormat$IntermediaryFormatHolder	net.minecraft.server.packs.metadata.pack.PackFormat$IntermediaryFormatHolder
PackLoadFeedback	net.minecraft.client.resources.server.PackLoadFeedback
PackLoadFeedback$FinalResult	net.minecraft.client.resources.server.PackLoadFeedback$FinalResult
PackLoadFeedback$Update	net.minecraft.client.resources.server.PackLoadFeedback$Update
PackLocationInfo	net.minecraft.server.packs.PackLocationInfo
PackMetadataGenerator	net.minecraft.data.metadata.PackMetadataGenerator
PackMetadataSection	net.minecraft.server.packs.metadata.pack.PackMetadataSection
PackMetadataSection$1	net.minecraft.server.packs.metadata.pack.PackMetadataSection$1
PackOutput	net.minecraft.data.PackOutput
PackOutput$PathProvider	net.minecraft.data.PackOutput$PathProvider
PackOutput$Target	net.minecraft.data.PackOutput$Target
PackReloadConfig	net.minecraft.client.resources.server.PackReloadConfig
PackReloadConfig$Callbacks	net.minecraft.client.resources.server.PackReloadConfig$Callbacks
PackReloadConfig$IdAndPath	net.minecraft.client.resources.server.PackReloadConfig$IdAndPath
PackRepository	net.minecraft.server.packs.repository.PackRepository
PackResources	net.minecraft.server.packs.PackResources
PackResources$ResourceOutput	net.minecraft.server.packs.PackResources$ResourceOutput
PackSelectionConfig	net.minecraft.server.packs.PackSelectionConfig
PackSelectionModel	net.minecraft.client.gui.screens.packs.PackSelectionModel
PackSelectionModel$Entry	net.minecraft.client.gui.screens.packs.PackSelectionModel$Entry
PackSelectionModel$EntryBase	net.minecraft.client.gui.screens.packs.PackSelectionModel$EntryBase
PackSelectionModel$SelectedPackEntry	net.minecraft.client.gui.screens.packs.PackSelectionModel$SelectedPackEntry
PackSelectionModel$UnselectedPackEntry	net.minecraft.client.gui.screens.packs.PackSelectionModel$UnselectedPackEntry
PackSelectionScreen	net.minecraft.client.gui.screens.packs.PackSelectionScreen
PackSelectionScreen$1	net.minecraft.client.gui.screens.packs.PackSelectionScreen$1
PackSelectionScreen$Watcher	net.minecraft.client.gui.screens.packs.PackSelectionScreen$Watcher
PackSource	net.minecraft.server.packs.repository.PackSource
PackSource$1	net.minecraft.server.packs.repository.PackSource$1
PackType	net.minecraft.server.packs.PackType
PackedBitStorage	net.minecraft.util.datafix.PackedBitStorage
Packet	net.minecraft.network.protocol.Packet
PacketBundlePacker	net.minecraft.network.PacketBundlePacker
PacketBundleUnpacker	net.minecraft.network.PacketBundleUnpacker
PacketDecoder	net.minecraft.network.PacketDecoder
PacketEncoder	net.minecraft.network.PacketEncoder
PacketEvent	net.minecraft.util.profiling.jfr.event.PacketEvent
PacketEvent$Fields	net.minecraft.util.profiling.jfr.event.PacketEvent$Fields
PacketFlow	net.minecraft.network.protocol.PacketFlow
PacketIdentification	net.minecraft.util.profiling.jfr.stats.PacketIdentification
PacketListener	net.minecraft.network.PacketListener
PacketProcessor	net.minecraft.network.PacketProcessor
PacketProcessor$ListenerAndPacket	net.minecraft.network.PacketProcessor$ListenerAndPacket
PacketReceivedEvent	net.minecraft.util.profiling.jfr.event.PacketReceivedEvent
PacketReport	net.minecraft.data.info.PacketReport
PacketSendListener	net.minecraft.network.PacketSendListener
PacketSentEvent	net.minecraft.util.profiling.jfr.event.PacketSentEvent
PacketType	net.minecraft.network.protocol.PacketType
PacketUtils	net.minecraft.network.protocol.PacketUtils
PageButton	net.minecraft.client.gui.screens.inventory.PageButton
Painting	net.minecraft.world.entity.decoration.painting.Painting
PaintingRenderState	net.minecraft.client.renderer.entity.state.PaintingRenderState
PaintingRenderer	net.minecraft.client.renderer.entity.PaintingRenderer
PaintingRenderer$1	net.minecraft.client.renderer.entity.PaintingRenderer$1
PaintingVariant	net.minecraft.world.entity.decoration.painting.PaintingVariant
PaintingVariantTags	net.minecraft.tags.PaintingVariantTags
PaintingVariantTagsProvider	net.minecraft.data.tags.PaintingVariantTagsProvider
PaintingVariants	net.minecraft.world.entity.decoration.painting.PaintingVariants
PaleMossDecorator	net.minecraft.world.level.levelgen.feature.treedecorators.PaleMossDecorator
Palette	net.minecraft.world.level.chunk.Palette
Palette$Factory	net.minecraft.world.level.chunk.Palette$Factory
PaletteResize	net.minecraft.world.level.chunk.PaletteResize
PalettedContainer	net.minecraft.world.level.chunk.PalettedContainer
PalettedContainer$CountConsumer	net.minecraft.world.level.chunk.PalettedContainer$CountConsumer
PalettedContainer$Data	net.minecraft.world.level.chunk.PalettedContainer$Data
PalettedContainerFactory	net.minecraft.world.level.chunk.PalettedContainerFactory
PalettedContainerRO	net.minecraft.world.level.chunk.PalettedContainerRO
PalettedContainerRO$PackedData	net.minecraft.world.level.chunk.PalettedContainerRO$PackedData
PalettedContainerRO$Unpacker	net.minecraft.world.level.chunk.PalettedContainerRO$Unpacker
PalettedPermutations	net.minecraft.client.renderer.texture.atlas.sources.PalettedPermutations
PalettedPermutations$PalettedSpriteSupplier	net.minecraft.client.renderer.texture.atlas.sources.PalettedPermutations$PalettedSpriteSupplier
Panda	net.minecraft.world.entity.animal.panda.Panda
Panda$Gene	net.minecraft.world.entity.animal.panda.Panda$Gene
Panda$PandaAttackGoal	net.minecraft.world.entity.animal.panda.Panda$PandaAttackGoal
Panda$PandaAvoidGoal	net.minecraft.world.entity.animal.panda.Panda$PandaAvoidGoal
Panda$PandaBreedGoal	net.minecraft.world.entity.animal.panda.Panda$PandaBreedGoal
Panda$PandaHurtByTargetGoal	net.minecraft.world.entity.animal.panda.Panda$PandaHurtByTargetGoal
Panda$PandaLieOnBackGoal	net.minecraft.world.entity.animal.panda.Panda$PandaLieOnBackGoal
Panda$PandaLookAtPlayerGoal	net.minecraft.world.entity.animal.panda.Panda$PandaLookAtPlayerGoal
Panda$PandaMoveControl	net.minecraft.world.entity.animal.panda.Panda$PandaMoveControl
Panda$PandaPanicGoal	net.minecraft.world.entity.animal.panda.Panda$PandaPanicGoal
Panda$PandaRollGoal	net.minecraft.world.entity.animal.panda.Panda$PandaRollGoal
Panda$PandaSitGoal	net.minecraft.world.entity.animal.panda.Panda$PandaSitGoal
Panda$PandaSneezeGoal	net.minecraft.world.entity.animal.panda.Panda$PandaSneezeGoal
PandaHoldsItemLayer	net.minecraft.client.renderer.entity.layers.PandaHoldsItemLayer
PandaModel	net.minecraft.client.model.animal.panda.PandaModel
PandaRenderState	net.minecraft.client.renderer.entity.state.PandaRenderState
PandaRenderer	net.minecraft.client.renderer.entity.PandaRenderer
PanicGoal	net.minecraft.world.entity.ai.goal.PanicGoal
PanoramaRenderer	net.minecraft.client.renderer.PanoramaRenderer
PanoramicScreenshotParameters	net.minecraft.client.renderer.PanoramicScreenshotParameters
ParallelMapTransform	net.minecraft.util.thread.ParallelMapTransform
ParallelMapTransform$BatchedTaskSplitter	net.minecraft.util.thread.ParallelMapTransform$BatchedTaskSplitter
ParallelMapTransform$Container	net.minecraft.util.thread.ParallelMapTransform$Container
ParallelMapTransform$SingleTaskSplitter	net.minecraft.util.thread.ParallelMapTransform$SingleTaskSplitter
ParallelMapTransform$SplitterBase	net.minecraft.util.thread.ParallelMapTransform$SplitterBase
ParamInfo	net.minecraft.server.jsonrpc.api.ParamInfo
Parched	net.minecraft.world.entity.monster.skeleton.Parched
ParchedRenderer	net.minecraft.client.renderer.entity.ParchedRenderer
PardonCommand	net.minecraft.server.commands.PardonCommand
PardonIpCommand	net.minecraft.server.commands.PardonIpCommand
Parrot	net.minecraft.world.entity.animal.parrot.Parrot
Parrot$1	net.minecraft.world.entity.animal.parrot.Parrot$1
Parrot$ParrotWanderGoal	net.minecraft.world.entity.animal.parrot.Parrot$ParrotWanderGoal
Parrot$Variant	net.minecraft.world.entity.animal.parrot.Parrot$Variant
ParrotModel	net.minecraft.client.model.animal.parrot.ParrotModel
ParrotModel$Pose	net.minecraft.client.model.animal.parrot.ParrotModel$Pose
ParrotOnShoulderLayer	net.minecraft.client.renderer.entity.layers.ParrotOnShoulderLayer
ParrotRenderState	net.minecraft.client.renderer.entity.state.ParrotRenderState
ParrotRenderer	net.minecraft.client.renderer.entity.ParrotRenderer
ParrotRenderer$1	net.minecraft.client.renderer.entity.ParrotRenderer$1
ParseState	net.minecraft.util.parsing.packrat.ParseState
ParsedTemplate	net.minecraft.server.dialog.action.ParsedTemplate
ParserBasedArgument	net.minecraft.util.parsing.packrat.commands.ParserBasedArgument
ParserUtils	net.minecraft.commands.ParserUtils
PartDefinition	net.minecraft.client.model.geom.builders.PartDefinition
PartNames	net.minecraft.client.model.geom.PartNames
PartPose	net.minecraft.client.model.geom.PartPose
PartialTickSupplier	net.minecraft.world.waypoints.PartialTickSupplier
Particle	net.minecraft.client.particle.Particle
Particle$LifetimeAlpha	net.minecraft.client.particle.Particle$LifetimeAlpha
ParticleArgument	net.minecraft.commands.arguments.ParticleArgument
ParticleCommand	net.minecraft.server.commands.ParticleCommand
ParticleDescription	net.minecraft.client.particle.ParticleDescription
ParticleEngine	net.minecraft.client.particle.ParticleEngine
ParticleFeatureRenderer	net.minecraft.client.renderer.feature.ParticleFeatureRenderer
ParticleFeatureRenderer$ParticleBufferCache	net.minecraft.client.renderer.feature.ParticleFeatureRenderer$ParticleBufferCache
ParticleGroup	net.minecraft.client.particle.ParticleGroup
ParticleGroupRenderState	net.minecraft.client.renderer.state.ParticleGroupRenderState
ParticleLimit	net.minecraft.core.particles.ParticleLimit
ParticleOptions	net.minecraft.core.particles.ParticleOptions
ParticleProvider	net.minecraft.client.particle.ParticleProvider
ParticleProvider$Sprite	net.minecraft.client.particle.ParticleProvider$Sprite
ParticleRenderType	net.minecraft.client.particle.ParticleRenderType
ParticleResources	net.minecraft.client.particle.ParticleResources
ParticleResources$1ParticleDefinition	net.minecraft.client.particle.ParticleResources$1ParticleDefinition
ParticleResources$MutableSpriteSet	net.minecraft.client.particle.ParticleResources$MutableSpriteSet
ParticleResources$SpriteParticleRegistration	net.minecraft.client.particle.ParticleResources$SpriteParticleRegistration
ParticleStatus	net.minecraft.server.level.ParticleStatus
ParticleType	net.minecraft.core.particles.ParticleType
ParticleTypes	net.minecraft.core.particles.ParticleTypes
ParticleTypes$1	net.minecraft.core.particles.ParticleTypes$1
ParticleUnflatteningFix	net.minecraft.util.datafix.fixes.ParticleUnflatteningFix
ParticleUtils	net.minecraft.util.ParticleUtils
ParticlesRenderState	net.minecraft.client.renderer.state.ParticlesRenderState
Passthrough	net.minecraft.world.level.levelgen.structure.templatesystem.rule.blockentity.Passthrough
PatchedDataComponentMap	net.minecraft.core.component.PatchedDataComponentMap
Path	net.minecraft.world.level.pathfinder.Path
Path$DebugData	net.minecraft.world.level.pathfinder.Path$DebugData
PathAllowList	net.minecraft.world.level.validation.PathAllowList
PathAllowList$ConfigEntry	net.minecraft.world.level.validation.PathAllowList$ConfigEntry
PathAllowList$EntryType	net.minecraft.world.level.validation.PathAllowList$EntryType
PathComputationType	net.minecraft.world.level.pathfinder.PathComputationType
PathContents	net.minecraft.server.packs.linkfs.PathContents
PathContents$1	net.minecraft.server.packs.linkfs.PathContents$1
PathContents$2	net.minecraft.server.packs.linkfs.PathContents$2
PathContents$DirectoryContents	net.minecraft.server.packs.linkfs.PathContents$DirectoryContents
PathContents$FileContents	net.minecraft.server.packs.linkfs.PathContents$FileContents
PathFinder	net.minecraft.world.level.pathfinder.PathFinder
PathNavigation	net.minecraft.world.entity.ai.navigation.PathNavigation
PathNavigationRegion	net.minecraft.world.level.PathNavigationRegion
PathPackResources	net.minecraft.server.packs.PathPackResources
PathPackResources$PathResourcesSupplier	net.minecraft.server.packs.PathPackResources$PathResourcesSupplier
PathType	net.minecraft.world.level.pathfinder.PathType
PathTypeCache	net.minecraft.world.level.pathfinder.PathTypeCache
PathfindToRaidGoal	net.minecraft.world.entity.ai.goal.PathfindToRaidGoal
PathfinderMob	net.minecraft.world.entity.PathfinderMob
PathfindingContext	net.minecraft.world.level.pathfinder.PathfindingContext
PathfindingRenderer	net.minecraft.client.renderer.debug.PathfindingRenderer
PatrolSpawner	net.minecraft.world.level.levelgen.PatrolSpawner
PatrollingMonster	net.minecraft.world.entity.monster.PatrollingMonster
PatrollingMonster$LongDistancePatrolGoal	net.minecraft.world.entity.monster.PatrollingMonster$LongDistancePatrolGoal
PauseScreen	net.minecraft.client.gui.screens.PauseScreen
PauseScreen$FeedbackSubScreen	net.minecraft.client.gui.screens.PauseScreen$FeedbackSubScreen
PendingRpcRequest	net.minecraft.server.jsonrpc.PendingRpcRequest
Percentiles	net.minecraft.util.profiling.jfr.Percentiles
PerfCommand	net.minecraft.server.commands.PerfCommand
PerformanceMetricsEvent	net.minecraft.client.telemetry.events.PerformanceMetricsEvent
PeriodicNotificationManager	net.minecraft.client.PeriodicNotificationManager
PeriodicNotificationManager$Notification	net.minecraft.client.PeriodicNotificationManager$Notification
PeriodicNotificationManager$NotificationTask	net.minecraft.client.PeriodicNotificationManager$NotificationTask
PerlinNoise	net.minecraft.world.level.levelgen.synth.PerlinNoise
PerlinSimplexNoise	net.minecraft.world.level.levelgen.synth.PerlinSimplexNoise
Permission	net.minecraft.server.permissions.Permission
Permission$Atom	net.minecraft.server.permissions.Permission$Atom
Permission$HasCommandLevel	net.minecraft.server.permissions.Permission$HasCommandLevel
PermissionCheck	net.minecraft.server.permissions.PermissionCheck
PermissionCheck$AlwaysPass	net.minecraft.server.permissions.PermissionCheck$AlwaysPass
PermissionCheck$Require	net.minecraft.server.permissions.PermissionCheck$Require
PermissionCheckTypes	net.minecraft.server.permissions.PermissionCheckTypes
PermissionLevel	net.minecraft.server.permissions.PermissionLevel
PermissionProviderCheck	net.minecraft.server.permissions.PermissionProviderCheck
PermissionSet	net.minecraft.server.permissions.PermissionSet
