# 简名 → 完整包路径对照表（写 import 时查这个）
# 共 9331 个简名，同名类用 | 分隔

AABB	net.minecraft.world.phys.AABB
Activity	net.minecraft.world.entity.schedule.Activity
AddFieldFix	net.minecraft.util.datafix.fixes.AddFieldFix
AddFlagIfNotPresentFix	net.minecraft.util.datafix.fixes.AddFlagIfNotPresentFix
AddNewChoices	net.minecraft.util.datafix.fixes.AddNewChoices
AddValue	net.minecraft.world.item.enchantment.effects.AddValue
AddressCheck	net.minecraft.client.multiplayer.resolver.AddressCheck
AddressCheck$1	net.minecraft.client.multiplayer.resolver.AddressCheck$1
AdultAndBabyModelPair	net.minecraft.client.model.AdultAndBabyModelPair
AdultSensor	net.minecraft.world.entity.ai.sensing.AdultSensor
AdultSensorAnyType	net.minecraft.world.entity.ai.sensing.AdultSensorAnyType
Advancement	net.minecraft.advancements.Advancement
Advancement$Builder	net.minecraft.advancements.Advancement$Builder
AdvancementCommands	net.minecraft.server.commands.AdvancementCommands
AdvancementCommands$Action	net.minecraft.server.commands.AdvancementCommands$Action
AdvancementCommands$Action$1	net.minecraft.server.commands.AdvancementCommands$Action$1
AdvancementCommands$Action$2	net.minecraft.server.commands.AdvancementCommands$Action$2
AdvancementCommands$Mode	net.minecraft.server.commands.AdvancementCommands$Mode
AdvancementHolder	net.minecraft.advancements.AdvancementHolder
AdvancementNode	net.minecraft.advancements.AdvancementNode
AdvancementProgress	net.minecraft.advancements.AdvancementProgress
AdvancementProvider	net.minecraft.data.advancements.AdvancementProvider
AdvancementRequirements	net.minecraft.advancements.AdvancementRequirements
AdvancementRequirements$Strategy	net.minecraft.advancements.AdvancementRequirements$Strategy
AdvancementRewards	net.minecraft.advancements.AdvancementRewards
AdvancementRewards$Builder	net.minecraft.advancements.AdvancementRewards$Builder
AdvancementSubProvider	net.minecraft.data.advancements.AdvancementSubProvider
AdvancementTab	net.minecraft.client.gui.screens.advancements.AdvancementTab
AdvancementTabType	net.minecraft.client.gui.screens.advancements.AdvancementTabType
AdvancementTabType$Sprites	net.minecraft.client.gui.screens.advancements.AdvancementTabType$Sprites
AdvancementToast	net.minecraft.client.gui.components.toasts.AdvancementToast
AdvancementTree	net.minecraft.advancements.AdvancementTree
AdvancementTree$Listener	net.minecraft.advancements.AdvancementTree$Listener
AdvancementType	net.minecraft.advancements.AdvancementType
AdvancementVisibilityEvaluator	net.minecraft.server.advancements.AdvancementVisibilityEvaluator
AdvancementVisibilityEvaluator$Output	net.minecraft.server.advancements.AdvancementVisibilityEvaluator$Output
AdvancementVisibilityEvaluator$VisibilityRule	net.minecraft.server.advancements.AdvancementVisibilityEvaluator$VisibilityRule
AdvancementWidget	net.minecraft.client.gui.screens.advancements.AdvancementWidget
AdvancementWidgetType	net.minecraft.client.gui.screens.advancements.AdvancementWidgetType
AdvancementWidgetType$1	net.minecraft.client.gui.screens.advancements.AdvancementWidgetType$1
AdvancementsFix	net.minecraft.util.datafix.fixes.AdvancementsFix
AdvancementsRenameFix	net.minecraft.util.datafix.fixes.AdvancementsRenameFix
AdvancementsScreen	net.minecraft.client.gui.screens.advancements.AdvancementsScreen
